element_global_id	reference_id
684205	180462
684205	180543
684205	181171
684205	181345
684205	181797
684205	181852
684205	181873
684205	182375
684205	182424
684205	182848
684205	183278
684205	183585
684205	184460
684205	185021
684205	185460
684205	185908
684205	185948
684205	187315
684205	187720
684205	187801
684205	189184
684205	190298
684205	190430
684205	190465
684205	190798
684205	192035
684205	192127
684205	192236
684205	192736
684205	193624
684205	194026
684205	194563
684205	195187
684205	195278
684205	195450
684205	195491
684205	196830
684205	197636
684205	197964
684205	198274
684205	198982
684205	199046
684205	199586
684205	200235
684205	200256
684205	200564
684205	200712
684205	200750
684205	201319
684205	201448
684205	215504
684205	235734
684205	235914
684205	294077
684205	342646
684205	342651
684205	344657
684205	344658
684205	464500
684205	468653
684205	468654
684205	469333
684205	469334
684205	469342
684205	469346
684205	469356
684205	478087
684205	503093
684205	504953
684205	504954
684205	504955
684205	645540
684205	645576
684205	650542
684205	657112
684205	659455
684205	659456
684205	671234
684205	671251
684205	671253
684205	711645
684205	830012
684460	181797
684460	183997
684460	184460
684645	180719
684645	181380
684645	181797
684645	181950
684645	184200
684645	184460
684645	186191
684645	186807
684645	187315
684645	191132
684645	194646
684645	197965
684645	200873
684645	342646
684645	478087
684645	650542
684645	667322
684645	671234
684645	707494
684716	175653
684716	175780
684716	175911
684716	176386
684716	176915
684716	178050
684716	178332
684716	180145
684716	181345
684716	181656
684716	181797
684716	181852
684716	181873
684716	181950
684716	182848
684716	183216
684716	183584
684716	184460
684716	185021
684716	185146
684716	185822
684716	187315
684716	187363
684716	187457
684716	187801
684716	189277
684716	190298
684716	190430
684716	190499
684716	192236
684716	192505
684716	194563
684716	195450
684716	195491
684716	197191
684716	197200
684716	197636
684716	198274
684716	198732
684716	200054
684716	200235
684716	200750
684716	200873
684716	201226
684716	235914
684716	294077
684716	342646
684716	342651
684716	344657
684716	344658
684716	464500
684716	469334
684716	469355
684716	469367
684716	478087
684716	503093
684716	505300
684716	645576
684716	646797
684716	649317
684716	656662
684716	657112
684716	657120
684716	659441
684716	659451
684716	659455
684716	671251
684716	711645
684716	722171
684716	756775
684716	757835
684716	757988
684716	820424
684716	830012
684717	181492
684717	182314
684717	182647
684717	182803
684717	641997
683910	181492
683910	182647
683910	188004
683910	196203
683910	200438
683910	645764
683910	667283
683912	181492
683912	184043
683912	667216
684097	178332
684097	181797
684097	182848
684097	235914
684097	478087
684097	671251
684572	181797
684572	181852
684572	181873
684572	183917
684572	184460
683682	176083
683682	176254
683682	177052
683682	181060
683682	181492
683682	182314
683682	182755
683682	182970
683682	184462
683682	186002
683682	189425
683682	190173
683682	194149
683682	194660
683682	195765
683682	195954
683682	198060
683682	198812
683682	201729
683682	668151
683682	757903
684356	181627
684356	181797
684356	184460
684356	187315
684356	194840
684356	340416
684653	176183
684653	181797
684653	181873
684653	184460
684653	192661
684653	193026
684653	195849
684653	505286
684220	175911
684220	176145
684220	181656
684220	181797
684220	184090
684220	184460
684220	185822
684220	186666
684220	187060
684220	189015
684220	189165
684220	189827
684220	191302
684220	192905
684220	193950
684220	193951
684220	196810
684220	197200
684220	197512
684220	198732
684220	199046
684220	200373
684220	215462
684220	235914
684220	478087
684220	650542
684220	657120
684110	181492
684044	181797
684044	194894
684044	646797
684049	181492
684049	182970
684049	185204
684049	191569
684337	175909
684337	179190
684337	179532
684337	181797
684337	181852
684337	181873
684337	182147
684337	183144
684337	183275
684337	184460
684337	187240
684337	187315
684337	187771
684337	189355
684337	190602
684337	192649
684337	193911
684337	198664
684337	200873
684337	340416
684337	342646
684337	342651
684337	503093
684337	659455
684337	662599
684427	176422
684427	649776
683711	181492
683711	182647
683711	182803
683711	187134
683711	191200
683711	641997
683718	181797
683718	182789
683718	184460
683718	187597
683718	188440
683718	200273
683718	200873
683718	650541
683718	662455
683718	671222
683718	671234
684735	181797
684735	184460
684735	201539
684735	646797
684735	671099
684735	757835
684707	181492
684707	198905
684707	668151
684989	181797
684989	181873
684989	184460
684989	187315
684989	189355
684989	190602
684989	340416
684989	342646
684989	342651
684989	659455
683833	179190
683833	179532
683833	181797
683833	181852
683833	181873
683833	181943
683833	184460
683833	187001
683833	187771
683833	192649
683833	196788
683833	342646
683833	505313
683833	662599
684765	178095
684765	181797
684765	182827
684765	183548
684765	184460
684765	194103
684765	195569
684765	197937
684765	199046
684765	199222
684765	200873
684765	342646
684765	503093
684671	180977
684671	182798
684671	187343
684671	190544
684671	199046
684671	656662
684225	181797
684225	184460
684225	188295
684225	192879
684083	176024
684083	180929
684083	181797
684083	182326
684083	184460
684083	186670
684083	189173
684083	193529
684083	195542
684083	646797
684083	757835
684365	178050
684365	178332
684365	180462
684365	181345
684365	181797
684365	181852
684365	181932
684365	184460
684365	187178
684365	187315
684365	194106
684365	195450
684365	197199
684365	197242
684365	197636
684365	198274
684365	199143
684365	199164
684365	199222
684365	200439
684365	200750
684365	200873
684365	201226
684365	235914
684365	342646
684365	374772
684365	464500
684365	468721
684365	469496
684365	478087
684365	518141
684365	645540
684365	645765
684365	646797
684365	650542
684365	656662
684365	657112
684365	664845
684365	671250
684365	671251
684365	722175
684365	752574
684365	757835
685137	181060
685137	181492
684749	181060
684749	181492
