element_global_id	obsoletename	obsoletenote	obsoletedate	obsoleteauthority
687536	<i>Pinus palustris / Quercus incana - Quercus margarettiae / Cnidoscolus texanus - Stylisma pickeringii var. pattersonii</i> Woodland	nomenclature update (USDA Plants 2017)	9/15/2017	M. Russo
732722	<i>Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium</i> Atlantic Woodland	nomenclature update (USDA Plants 2017)	9/15/2017	M. Russo
932248	<i>Pinus palustris / Quercus margarettiae / Aristida beyrichiana - Rhynchosia reniformis</i> Woodland	nomenclature update (USDA Plants 2017)	9/15/2017	M. Russo
685429	<i>Quercus alba - Quercus (margarettiae, rubra, stellata) / Vaccinium pallidum</i> Sandhill Forest	nomenclature update (USDA Plants 2017)	9/15/2017	M. Russo
687343	<i>Quercus (incana, margarettiae, arkansana) - (Pinus echinata) / Schizachyrium scoparium</i> Woodland	nomenclature update (USDA Plants 2017)	9/15/2017	M. Russo
860729	Hawaiian Vernal Pool Group		5/27/2016	K. Schulz
860836	Polynesian Coastal Salt Marsh Group		5/27/2016	K. Schulz
860792	Hawaiian Alpine Scrub Group		5/27/2016	K. Schulz
955880	Hawaiian Seagrass Bed Group		5/27/2016	K. Schulz
902979	Tropical Pacific Forest Plantation Cultural Subgroup		5/27/2016	K. Schulz
899048	<i>Salix exigua - Forestiera pubescens</i> Warm Desert Wet Shrubland Alliance		1/20/2017	K. Schulz
688227	<i>Abies amabilis / Vaccinium membranaceum / Xerophyllum tenax</i> Forest		1/30/2017	G. Kittel
688873	<i>Abies amabilis / Oplopanax horridus</i> Swamp Forest		1/30/2017	G. Kittel
689236	<i>Abies lasiocarpa / Valeriana sitchensis</i> Forest		1/30/2017	G. Kittel
687137	<i>Picea sitchensis - Alnus rubra / Rubus spectabilis</i> Riparian Woodland		1/30/2017	G. Kittel
685454	<i>Tsuga heterophylla / Vaccinium ovalifolium / Dryopteris expansa</i> Forest		1/31/2017	G. Kittel
683612	<i>Tsuga heterophylla / Vaccinium ovalifolium / Lysichiton americanus</i> Woodland		1/31/2017	G. Kittel
736399	<i>Cladium mariscoides - Panicum rigidulum var. pubescens</i> Sea Level Fen		6/28/2017	K. Walz/L. Sneddon
899234	<i>Sporobolus heterolepis - Deschampsia caespitosa / Dasiphora fruticosa ssp. floribunda</i> Alvar Grassland Alliance	nomenclature update (USDA Plants 2017)	7/28/2017	M. Russo
899872	<i>Danthonia californica - Carex lenticularis - Deschampsia caespitosa</i> Coastal &amp; Lowland Marsh Alliance	nomenclature update (USDA Plants 2017)	7/28/2017	M. Russo
