element_global_id	usfs_ecoregion_id	d_occurrence_status_id
683075	1139	1
683077	103	1
683077	115	1
683077	1053	1
683077	1081	1
683077	1021	1
683077	1157	1
683292	10372	1
683292	10004	1
683292	10137	1
683292	10126	1
683293	133	1
683293	1129	1
683293	1155	1
683293	1106	1
683294	105	3
683294	1034	3
683296	134	1
683296	103	1
683296	1110	1
683296	1081	1
683296	1071	1
683296	1157	1
683296	10116	1
683296	10246	1
683296	10423	3
683296	10093	2
683296	10088	2
683296	10087	2
683296	10058	1
683296	10027	2
683296	10026	2
683296	10005	2
683296	10371	1
683296	10059	2
683296	10378	2
683296	10474	2
683296	10442	2
683296	10421	2
683296	10414	2
683296	10413	2
683296	10177	2
683296	10396	2
683296	10377	2
683296	10352	2
683296	10334	2
683296	10333	2
683296	10294	2
683428	1134	1
683429	117	1
683429	133	1
683429	1168	1
683429	1047	1
683429	1095	1
683429	1091	1
683429	1146	1
683429	1007	1
683431	114	1
683431	1147	1
683432	1088	1
683433	128	1
683433	1050	1
683433	1150	1
683433	10117	1
683433	10274	1
683434	112	1
683434	105	1
683434	1051	1
683434	1144	1
683434	10218	1
683434	10073	1
683434	10131	1
683435	128	2
683435	105	1
683435	1034	1
683435	10045	2
683435	10261	1
683436	113	3
683437	115	2
683437	1026	2
683437	1028	1
683437	10276	2
683438	103	1
683438	123	1
683438	115	1
683438	1148	1
683438	1090	1
683438	1135	1
683438	1026	1
683438	1109	1
683438	1092	1
683438	1114	1
683438	10471	1
683580	1051	1
683580	1126	1
683580	10486	1
683580	10073	1
683581	104	1
683581	10123	1
683769	1168	1
683769	1093	1
683769	1091	1
683769	1030	3
683770	115	1
683770	1143	1
683770	1130	1
683770	1074	1
683770	10027	1
683770	10414	1
683770	10277	3
683770	10177	1
683770	10092	2
683770	10413	1
683771	117	3
683771	1027	3
683771	1147	1
683771	1131	1
683772	122	1
683773	1073	1
683774	135	1
683774	1088	1
683775	1051	1
683775	10128	1
683775	10073	2
683777	122	1
683777	1095	1
683084	10077	1
683088	124	1
683088	1013	1
683088	1132	1
683089	1088	1
683090	114	1
683090	1052	1
683091	127	1
683091	1020	1
683092	121	1
683092	1145	1
683093	105	1
683093	1126	1
683093	10489	1
683094	136	2
683094	102	1
683094	1108	1
683094	10214	1
683095	1110	2
683095	1021	2
683095	1081	1
683095	10029	2
683095	10246	2
683095	10371	2
683096	105	1
683096	1051	1
683096	10486	1
683097	122	1
683097	1168	1
683098	129	1
683098	124	1
683098	1145	1
683098	1013	1
683098	1132	1
683099	103	1
683099	1061	1
683099	10166	1
683099	10146	1
683296	10277	2
683296	10226	2
683297	117	1
683297	1155	1
683297	1106	1
683297	1129	1
683299	105	1
683299	112	1
683299	1126	1
683299	1051	1
683299	1012	1
683299	10148	1
683299	10343	1
683299	10073	1
683299	10319	1
683299	10270	1
683300	119	1
683300	1069	1
683300	1101	1
683302	127	1
683302	1105	1
683303	102	1
683303	1169	1
683303	1173	1
683303	1161	1
683303	1018	1
683303	1123	1
683303	10036	1
683303	10204	1
683303	10386	1
683303	10368	1
683303	10340	1
683303	10285	1
683303	10272	1
683303	10032	1
683303	10215	1
683303	10203	1
683303	10097	1
683303	10076	3
683438	10279	1
683438	10175	2
683438	10060	1
683438	10083	2
683438	10053	1
683438	10174	1
683438	10243	1
683438	10289	1
683438	10301	1
683438	10454	1
683438	10141	1
683438	10268	1
683438	10376	1
683438	10335	1
683438	10468	1
683438	10424	1
683438	10139	1
683438	10140	1
683438	10224	1
683438	10024	1
683438	10057	1
683438	10138	1
683439	117	1
683439	122	1
683439	127	1
683439	133	1
683439	1105	1
683439	1134	1
683439	1146	1
683439	1129	1
683439	1047	1
683440	1144	1
683440	10218	1
683441	122	1
683441	1168	1
683442	113	1
683442	1144	1
683443	105	1
683443	1151	1
683443	10128	1
683445	128	1
683445	1148	1
683445	1019	1
683445	10127	1
683445	10139	1
683445	10335	1
683778	1018	1
683778	10229	3
683779	1173	1
683781	104	2
683781	1150	1
683781	10274	1
683781	10359	2
683782	1150	1
683782	10274	1
683782	10317	1
683783	129	1
683783	1070	1
683786	123	1
683786	1150	1
683786	1094	1
683786	10084	1
683786	10411	1
683786	10348	1
683787	121	1
683787	127	1
683787	1156	1
683787	1020	1
683787	1145	1
683789	114	1
683789	1052	1
683792	109	1
683792	111	1
683792	1166	1
683792	1120	1
683792	1175	1
683792	1013	1
683792	1024	1
683793	1176	1
683794	130	1
683794	1100	1
683794	10081	1
683796	122	1
683796	1115	1
683797	114	1
683797	1044	1
683797	1172	1
683798	1016	1
683102	105	1
683102	1151	1
683102	10040	1
683102	10128	1
683102	10124	1
683102	10039	1
683103	105	1
683103	1126	1
683103	10489	1
683103	10319	1
683103	10129	3
683103	10108	3
683110	121	1
683110	129	1
683110	1070	1
683110	1145	1
683112	103	1
683112	1021	1
683112	1135	1
