element_global_id	simglobal_id	simnote	simelcode	simname	simusstatus	simlevelid
899335	899760	occurs further east, nearly always on floodplains and terraces, and tends to have more <i>Acer rubrum, Acer saccharinum</i>, and <i>Celtis occidentalis</i>.	A3708	<i>Acer rubrum - Fraxinus pennsylvanica</i> Floodplain Forest Alliance	C	46
899335	934751	can have similar canopy dominants but is found on floodplains of rivers and large streams.	A4131	<i>Fraxinus pennsylvanica - Ulmus americana - Populus deltoides</i> Floodplain Forest Alliance	C	46
899051	900087	lacks dominance by <i>Crataegus</i> spp. and can be found in both riparian and upland settings but can otherwise be similar.	A4036	<i>Prunus virginiana - Symphoricarpos occidentalis - Amelanchier alnifolia</i> Great Plains Shrubland Alliance	C	46
899051	899648	occurs in the same setting and may share several species but is dominated by <i>Shepherdia argentea</i>.	A3590	<i>Shepherdia argentea</i> Wet Shrubland Alliance	C	46
899051	899041	occurs in the same setting and may share several species but is dominated by <i>Elaeagnus commutata</i>.	A0918	<i>Elaeagnus commutata</i> Wet Shrubland Alliance	C	46
900085	900093	is found further south and lacks some northern species such as <i>Carex inops ssp. heliophila</i> and <i>Carex filifolia</i>.	A4042	<i>Schizachyrium scoparium - Bouteloua curtipendula</i> Central Great Plains Grassland Alliance	C	46
900085	899150	has a sparse canopy (10-30%) of short shrubs, usually dominated by <i>Rhus trilobata</i>.	A1537	<i>Rhus trilobata / Schizachyrium scoparium - Carex filifolia</i> Shrub Grassland Alliance	C	46
899150	900085	has less shrub cover but can be very similar, otherwise.	A4034	<i>Schizachyrium scoparium</i> Northwestern Great Plains Grassland Alliance	C	46
899425	933706	is a rocky forest/woodland alliance that may be a subtype of A3301.	A4126	<i>Acer saccharum - Tilia americana - Quercus rubra</i> Rocky Forest Alliance	C	46
899425	899364	is rich northern hardwood.	A3240	<i>Acer saccharum - Tilia americana - Fraxinus americana</i> Forest Alliance	C	46
899425	899348	is typical northern hardwood.	A3224	<i>Acer saccharum - Fagus grandifolia - Betula alleghaniensis</i> Forest Alliance	C	46
899438	931856	is an open high- to low-elevation rocky shrubland.	A4111	<i>Vaccinium angustifolium - Vaccinium pallidum</i> Rocky Heath Alliance	C	46
900058	878628	shares some superficial resemblance, but occurs to the southeast.	A2071	Appalachian Acidic Cliff Alliance	C	46
878639	900045	occurs on dry cliffs of mafic to calcareous rocks; has superficial geologic resemblance, but has nearly no floristic overlap.	A3994	Appalachian Mafic - Circumneutral Cliff Alliance	C	46
878657	878656	is geographically separated, occurring in the Central and Southern Appalachian regions.	A2072	<i>Hydrangea arborescens / Heuchera villosa</i> Appalachian Circumneutral Cliff Alliance	C	46
878656	878657	occurs on seepage cliffs of the Ozarks.	A2073	<i>Hydrangea arborescens / Heuchera villosa</i> Interior Seepage Cliff Alliance	C	46
899965	900045	is not characterized by <i>Thuja occidentalis</i> and does not occur in mafic settings.	A3994	Appalachian Mafic - Circumneutral Cliff Alliance	C	46
899965	899420	occurs to the north in cooler climates, and supports greater canopy cover in general.	A3296	<i>Thuja occidentalis</i> Limestone Woodland Alliance	C	46
900069	899374		A3250	<i>Populus tremuloides / Corylus</i> spp. Woodland Alliance	C	46
900097	900096		A4045	<i>Andropogon gerardii - Sorghastrum nutans - Helianthus</i> spp. Southern Grassland Alliance	C	46
900096	900097		A4046	<i>Schizachyrium scoparium - Echinacea pallida</i> Southern Grassland Alliance	C	46
899151	899086		A1201	<i>Calamovilfa longifolia</i> Sand Prairie Alliance	C	46
899151	899644		A3586	<i>Artemisia cana ssp. cana</i> Wet Shrubland Alliance	C	46
899407	899406	is the matrix vegetation in which this smaller patch alliance occurs within in Arizona.	A3282	<i>Carnegiea gigantea - Parkinsonia microphylla - Prosopis velutina</i> Desert Scrub Alliance	C	46
899330	899328		A3204	<i>Bouteloua eriopoda - Bouteloua ramosa</i> Piedmont Desert Grassland Alliance	C	46
899330	899329		A3205	<i>Dasylirion</i> spp. / <i>Bouteloua curtipendula - Muhlenbergia setifolia</i> Foothill Desert Grassland Alliance	C	46
899328	899368	also occurs on sand substrates in the Chihuahuan Desert.	A3244	<i>Yucca elata - Ephedra torreyana / Bouteloua eriopoda</i> Sandy Plains Semi-Desert Grassland Alliance	C	46
899328	899330	is a semi-arid grassland that occurs in the lower Montane Zone.	A3206	<i>Muhlenbergia emersleyi - Muhlenbergia setifolia - Hesperostipa neomexicana</i> Madrean Lower Montane Grassland Alliance	C	46
899328	899329	is a semi-arid grassland that occurs in the Foothill Zone and extends into the transition zone with the southwestern Great Plains.	A3205	<i>Dasylirion</i> spp. / <i>Bouteloua curtipendula - Muhlenbergia setifolia</i> Foothill Desert Grassland Alliance	C	46
899329	899330		A3206	<i>Muhlenbergia emersleyi - Muhlenbergia setifolia - Hesperostipa neomexicana</i> Madrean Lower Montane Grassland Alliance	C	46
899329	899328		A3204	<i>Bouteloua eriopoda - Bouteloua ramosa</i> Piedmont Desert Grassland Alliance	C	46
899369	899368	also occurs on sand substrates in the Chihuahuan Desert.	A3244	<i>Yucca elata - Ephedra torreyana / Bouteloua eriopoda</i> Sandy Plains Semi-Desert Grassland Alliance	C	46
899368	899369	occurs on sandy substrates in the Chihuahuan Desert.	A3245	<i>Sporobolus flexuosus</i> Sandy Plains Semi-Desert Grassland Alliance	C	46
899368	899328	occurs on loamy and finer-textured soils, rather than sand substrates.	A3204	<i>Bouteloua eriopoda - Bouteloua ramosa</i> Piedmont Desert Grassland Alliance	C	46
899367	899366	is the other Chihuahuan Desert gypsum alliance.	A3242	<i>Artemisia filifolia / Andropogon hallii - Bouteloua breviseta</i> Gypsum Dune Desert Grassland Alliance	C	46
899311	899104		A1287	<i>Pleuraphis jamesii</i> Grassland Alliance	C	46
899311	899114	in ~North American Desert Alkaline-Saline Marsh &amp; Playa Group (G538)$$ includes three <i>Sporobolus airoides</i>-dominated associations.	A1334	<i>Sporobolus airoides - Muhlenbergia asperifolia - Spartina gracilis</i> Alkaline Wet Meadow Alliance	C	46
899311	899955		A3904	<i>Sporobolus airoides</i> Great Plains Marsh Alliance	C	46
899258	899259		A3134	<i>Juniperus coahuilensis - Juniperus deppeana - Juniperus monosperma</i> / Grass Understory Open Woodland Alliance	C	46
899259	899258		A3133	<i>Juniperus coahuilensis - Juniperus deppeana - Juniperus monosperma</i> / Shrub Understory Open Woodland Alliance	C	46
899278	899287	is dominated by <i>Prosopis glandulosa</i>, but stands occur in uplands and do not occur in lowland basin sites with fine-textured, often alkaline or saline substrates.	A3162	<i>Prosopis glandulosa</i> Ruderal Desert Scrub Alliance	C	46
899278	899288	is ecologically similar, but is dominated by related species <i>Prosopis velutina</i>.	A3163	<i>Prosopis velutina</i> Ruderal Desert Scrub Alliance	C	46
899278	899260	is restricted to sandsheets substrates.	A3135	<i>Prosopis glandulosa</i> Ruderal Desert Sand Scrub Alliance	C	46
899276	899036	is similar because it is dominated by <i>Atriplex canescens</i>, but its distribution is centered in the Intermountain West.	A0869	<i>Atriplex canescens</i> Scrub Alliance	C	46
899852	899704	occurs in the Great Plains, midwestern and eastern U.S.	A3646	<i>Salix interior</i> Riverscour Shrubland Alliance	C	46
899350	899425	occurs to the east of this alliance in New York's Lake Erie and Lake Ontario lakeplains, and elsewhere across the Northeast.	A3301	<i>Acer saccharum - Fagus grandifolia - Tilia americana</i> Forest Alliance	C	46
899619	858280		A2109	<i>Pinus monophylla - Juniperus osteosperma</i> / Herbaceous Understory Open Woodland Alliance	C	46
899452	899451		A3327	<i>Quercus garryana - Pinus ponderosa / Carex geyeri</i> Woodland Alliance	C	46
899935	899934		A3883	<i>Artemisia californica - Salvia leucophylla</i> Mesic Scrub Alliance	C	46
899451	899452		A3328	<i>Quercus garryana - Pseudotsuga menziesii / Toxicodendron diversilobum</i> Forest & Woodland Alliance	C	46
899288	899287	is ecologically similar, but is dominated by related species <i>Prosopis glandulosa</i>.	A3162	<i>Prosopis glandulosa</i> Ruderal Desert Scrub Alliance	C	46
899288	899260	is restricted to sandsheets substrates and is dominated by <i>Prosopis velutina</i>.	A3135	<i>Prosopis glandulosa</i> Ruderal Desert Sand Scrub Alliance	C	46
899287	899278	is restricted to lowland basin sites with fine-textured, often alkaline or saline substrates.	A3153	<i>Prosopis glandulosa</i> Lowland Basin Chihuahuan Desert Scrub Alliance	C	46
899287	899288	is ecologically similar, but is dominated by related species <i>Prosopis velutina</i>.	A3163	<i>Prosopis velutina</i> Ruderal Desert Scrub Alliance	C	46
899287	899260	is is restricted to sandsheets substrates.	A3135	<i>Prosopis glandulosa</i> Ruderal Desert Sand Scrub Alliance	C	46
899260	899278	is similar but is restricted to lowland basin sites with fine-textured, often alkaline or saline substrates.	A3153	<i>Prosopis glandulosa</i> Lowland Basin Chihuahuan Desert Scrub Alliance	C	46
899260	899287	is similar in that is it dominated by <i>Prosopis glandulosa</i>, but stands occur in uplands and not on sandsheet substrates.	A3162	<i>Prosopis glandulosa</i> Ruderal Desert Scrub Alliance	C	46
899897	899376		A3252	<i>Thuja occidentalis</i> Acidic Forest Alliance	C	46
899251	899250	lacks a broad-leaved deciduous shrub stratum; occurs only west of the Mississippi River.	A3124	<i>Pinus palustris / Schizachyrium scoparium</i> West Gulf Coastal Plain Woodland Alliance	C	46
899251	899249	has a broad-leaved deciduous shrub stratum of <i>Quercus marilandica</i>; occurs only west of the Mississippi River.	A3123	<i>Pinus palustris / Quercus marilandica / Schizachyrium scoparium</i> West Gulf Coastal Plain Woodland Alliance	C	46
899251	899252	has a broad-leaved deciduous shrub stratum of <i>Quercus marilandica</i>; occurs only east of the Mississippi River.	A3126	<i>Pinus palustris / Quercus marilandica / Aristida</i> spp. Southeastern Coastal Plain Clayhill Woodland Alliance	C	46
899251	899253	lacks a broad-leaved deciduous shrub stratum; occurs only east of the Mississippi River.	A3127	<i>Pinus palustris / Aristida</i> spp. - <i>Schizachyrium scoparium</i> Southeastern Coastal Plain Woodland Alliance	C	46
